Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,SZA,2022-12-08,153946,86,False,r&b,Top Dawg Entertainment/RCA Records,0.644,0.735,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,Miley Cyrus,2023-01-13,200454,21,False,,Columbia,0.707,0.681,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
spotify:track:7oDd86yk8itslrA9HRP2ki,Die For You - Remix,Die For You (Remix),"The Weeknd,Ariana Grande",2023-02-24,232857,76,False,pop,XO / Republic Records,0.531,0.525,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,4
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,Boy's a liar Pt. 2,"PinkPantheress,Ice Spice",2023-02-03,131013,76,True,bedroom pop,Warner Records,0.696,0.809,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,92,False,,Taylor Swift,0.552,0.702,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,"Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,84,True,,Republic Records,0.716,0.613,-6.018,0,0.0522,0.391,0.0,0.0813,0.157,97.914,4
spotify:track:3k79jB4aGmMDUQzEwa46Rz,vampire,vampire,Olivia Rodrigo,2023-06-30,219724,11,True,,Olivia Rodrigo PS,0.484,0.53,-5.82,1,0.054,0.148,0.0,0.283,0.319,136.874,4
spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,greedy,Tate McRae,2023-09-15,131872,91,True,,RCA Records Label,0.749,0.729,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,1
spotify:track:78Sw5GDo6AlGwTwanjXbGh,Here With Me,Here With Me,d4vd,2022-09-22,242484,9,False,,Darkroom/Interscope Records,0.574,0.469,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4
spotify:track:2i2gDpKKWjvnRTOZRhaPh2,Moonlight,Moonlight,Kali Uchis,2023-02-24,187557,78,False,,Geffen Records,0.64,0.719,-6.452,0,0.0516,0.477,0.0,0.16,0.889,136.79,4
spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,2023-04-14,212953,46,False,,"Miserable Music Group, LLC",0.508,0.43,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,137773,90,False,,Dead Oceans,0.504,0.308,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY,2023-02-24,174253,11,False,k-pop,WM Korea,0.783,0.592,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,4
spotify:track:7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Flower Boy,"Tyler The Creator,Kali Uchis",2017-07-21,180386,93,True,,Columbia,0.558,0.559,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4
spotify:track:7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),Seven (feat. Latto),"Jung Kook,Latto",2023-07-14,184400,81,True,k-pop,BIGHIT MUSIC,0.788,0.841,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986,4
spotify:track:5aIVCx5tnk0ntmdiinnYvw,Water,Water,Tyla,2023-07-28,200255,87,False,afrobeats,FAX Records/Epic,0.673,0.722,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,4
spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,138411,82,True,,Generation Now/Atlantic,0.943,0.558,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,231750,81,True,,Kemosabe Records/RCA Records,0.868,0.538,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Shakira: Bzrp Music Sessions Vol. 53,Shakira: Bzrp Music Sessions Vol. 53,"Bizarrap,Shakira",2023-01-11,214945,80,False,"argentine trap,trap latino,urbano latino,latin pop",DALE PLAY Records,0.842,0.745,-4.231,0,0.0399,0.281,2.61e-05,0.118,0.53,122.06,4
spotify:track:6dgUya35uo964z7GZXM07g,Nonsense,emails i can't send,Sabrina Carpenter,2022-07-15,163648,88,False,,Island Records,0.74,0.697,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,4
spotify:track:7KokYm8cMIXCsGVmUvKtqf,Karma,Midnights,Taylor Swift,2022-10-21,204852,79,True,,Taylor Swift,0.64,0.619,-7.108,1,0.065,0.062,0.0,0.475,0.121,90.008,4
spotify:track:6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,UTOPIA,Travis Scott,2023-07-28,211582,83,True,rap,Cactus Jack/Epic,0.927,0.619,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,4
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SOS,SZA,2022-12-09,201800,90,True,r&b,Top Dawg Entertainment/RCA Records,0.559,0.551,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
spotify:track:6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Say Yes To Heaven,Lana Del Rey,2023-05-19,209156,87,False,,Polydor Records,0.485,0.348,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,What Was I Made For? [From The Motion Picture Barbie],What Was I Made For? [From The Motion Picture Barbie],Billie Eilish,2023-07-13,222369,88,False,,Darkroom/Interscope Records,0.391,0.084,-17.843,1,0.0317,0.953,0.0,0.0983,0.111,79.449,4
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),"Stephen Sanchez,Em Beihold",2022-04-22,176440,82,False,,Republic Records,0.551,0.55,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,3
spotify:track:59uQI0PADDKeE6UZDTJEe8,Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,163854,76,True,country,Big Loud Records / Mercury Records / Republic Records,0.492,0.673,-5.431,1,0.0347,0.413,0.0,0.137,0.488,203.812,4
spotify:track:3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Ella Baila Sola,"Eslabon Armado,Peso Pluma",2023-03-16,165671,80,False,"corridos tumbados,sad sierreño,corrido,sierreño,música mexicana,corridos bélicos,banda,electro corridos",DEL Records,0.668,0.758,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,3
spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),"David Guetta,Bebe Rexha",2022-08-26,175238,89,True,"edm,dance",Parlophone UK,0.561,0.965,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Her Loss,"Drake,21 Savage",2022-11-04,239359,78,True,rap,OVO / Republic Records,0.549,0.518,-9.39,0,0.257,0.0517,1.21e-06,0.378,0.418,160.07,4
spotify:track:6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),Popular (Music from the HBO Original Series),"The Weeknd,Playboi Carti,Madonna",2023-06-02,215466,85,True,rage rap,XO / Republic Records,0.854,0.674,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,4
spotify:track:2FDTHlrBguDzQkp7PVj16Q,Sprinter,Sprinter,"Dave,Central Cee",2023-06-01,229133,85,True,"grime,uk grime,uk drill,drill",Neighbourhood / Live Yours,0.918,0.681,-4.705,1,0.201,0.263,0.0,0.0615,0.706,139.057,4
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,fukumean,a Gift & a Curse,Gunna,2023-06-16,125040,83,True,melodic rap,300 Entertainment,0.847,0.622,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4
spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,La Bachata,Manuel Turizo,2022-05-26,162637,82,False,"reggaeton,pop urbano,latin,colombian pop",Sony Music Latin/La Industria,0.835,0.679,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
spotify:track:5odlY52u43F5BjByhxg7wg,golden hour,this is what ____ feels like (Vol. 1-4),JVKE,2022-09-23,209259,81,False,,JVKE,0.515,0.593,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),"Rema,Selena Gomez",2022-08-25,239317,84,False,"afrobeats,afrobeat,afropop,afropiano",Mavin Records / Jonzing World,0.801,0.806,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
spotify:track:2Zo1PcszsT9WQ0ANntJbID,Feather,emails i can’t send fwd:,Sabrina Carpenter,2023-03-17,185552,87,True,,Island Records,0.791,0.694,-4.332,0,0.0335,0.0736,1.75e-06,0.0958,0.826,123.508,4
spotify:track:2i8f4VnnBjy0yDqH2C452a,bad idea right?,bad idea right?,Olivia Rodrigo,2023-08-11,184783,4,True,,Olivia Rodrigo PS,0.631,0.88,-3.545,1,0.0999,0.00174,4.52e-06,0.0639,0.808,129.994,4
spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,TQG,MAÑANA SERÁ BONITO,"KAROL G,Shakira",2023-02-24,197933,85,True,"reggaeton,latin,urbano latino,latin pop",BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,0.587,0.647,-3.385,0,0.327,0.619,0.0,0.106,0.686,90.123,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,MONACO,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,267194,82,True,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,0.787,0.621,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,"Metro Boomin,Future,Don Toliver",2022-12-02,199920,85,True,rap,Republic Records,0.573,0.668,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,4
spotify:track:5WxVXxCMRnvxUKFq40ELwq,Escapism.,Escapism. (Sped Up),"RAYE,070 Shake",2022-11-25,272373,2,True,,Human Re Sources,0.538,0.742,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,84,False,pop,Atlantic Records,0.671,0.845,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,4
spotify:track:5w40ZYhbBMAlHYNDaVJIUu,Chemical,Chemical,Post Malone,2023-04-14,184013,78,True,,Mercury Records/Republic Records,0.49,0.88,-4.856,1,0.0435,0.00154,0.0,0.103,0.392,169.949,4
spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"Zach Bryan,Kacey Musgraves",2023-08-25,227195,89,False,"country,red dirt",Warner Records,0.429,0.453,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4
spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,2023-10-26,229477,76,False,,Taylor Swift,0.599,0.651,-7.343,1,0.035,0.0486,0.0,0.126,0.153,100.001,4
spotify:track:7DswEZZthZ6piQpL25qGAM,On My Mama,JAGUAR II,Victoria Monét,2023-08-25,184258,68,True,alternative r&b,Lovett Music/RCA Records,0.675,0.546,-7.716,0,0.0511,0.556,0.00441,0.167,0.607,77.415,4
spotify:track:741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,73,True,"europop,eurodance",Atlantic Records,0.77,0.58,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
spotify:track:2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,La Bebe (Remix),"Yng Lvcas,Peso Pluma",2023-03-17,234352,81,True,"reggaeton mexa,reggaeton,electro corridos,dembow belico,corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,banda",WM Mexico,0.812,0.479,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4
spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,K-POP,K-POP,"Travis Scott,Bad Bunny,The Weeknd",2023-07-21,185220,72,True,"rap,reggaeton,trap latino,urbano latino,latin",Cactus Jack/Epic,0.814,0.618,-5.614,0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,4
