Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2b8fOow8UzyDFAE27YhOZM,Memories,Memories,Maroon 5,2019-09-20,189486,35,False,pop,222 Records/Interscope Records,0.764,0.32,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4
spotify:track:4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Stuck with U,"Ariana Grande,Justin Bieber",2020-05-08,228482,82,False,pop,"Ariana Grande & Justin Bieber Stuck With U""- Charity""",0.597,0.45,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,3
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Kid Krow,Conan Gray,2020-03-20,198040,87,False,,Republic Records,0.357,0.425,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3
spotify:track:4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Changes,"Justin Bieber,Quavo",2020-02-14,212866,78,False,,RBMG/Def Jam,0.806,0.546,-6.637,1,0.0579,0.298,0.0,0.102,0.875,147.988,4
spotify:track:3VyjsVV24RmBIbWJAeUJNu,No Idea,No Idea,Don Toliver,2019-05-29,154424,1,False,,Cactus Jack / Atlantic,0.651,0.631,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,4
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),"Future,Drake",2020-01-10,237735,75,True,rap,Epic/Freebandz,0.676,0.609,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,4
spotify:track:3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,87,True,rap,Cactus Jack/Epic,0.598,0.427,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4
spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,Roses (Imanbek Remix),"SAINt JHN,Imanbek",2019-09-13,176218,11,True,slap house,HITCO,0.785,0.721,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,9,True,,RCA Records Label,0.667,0.373,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,9,False,,"Surfaces, LLC / TenThousand Projects, LLC",0.878,0.525,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4
spotify:track:3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Shut up My Moms Calling,Hotel Ugly,2020-02-10,164571,88,False,,"Hotel Ugly, under exclusive license to Amuseio AB",0.485,0.409,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,4
spotify:track:41L3O37CECZt3N7ziG2z7l,Yummy,Yummy,Justin Bieber,2020-01-03,210426,68,False,,RBMG/Def Jam,0.688,0.514,-6.612,0,0.0903,0.366,0.0,0.116,0.494,145.919,4
spotify:track:5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),"Megan Thee Stallion,Beyoncé",2020-04-29,242000,64,True,,300 Entertainment,0.822,0.743,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,4
spotify:track:3vAn0qZzdyuHamcrpkfiX3,How You Like That,How You Like That,BLACKPINK,2020-06-26,181263,0,False,k-pop,YG Entertainment/Interscope Records,0.828,0.782,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4
spotify:track:5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),Positions,"Ariana Grande,Doja Cat",2020-10-30,167989,74,True,pop,Republic Records,0.789,0.742,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,4
spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),Monster,"Shawn Mendes,Justin Bieber",2020-11-20,178994,69,False,,Shawn Mendes LP4-5 PS/ Island,0.652,0.383,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,4
spotify:track:1raaNykBg1bDnWENUiglUA,Break My Heart,Break My Heart,Dua Lipa,2020-03-25,221820,62,False,pop,Warner Records,0.73,0.729,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012,4
spotify:track:7k4t7uLgtOxPwTpFmtJNTY,Tusa,Tusa,"KAROL G,Nicki Minaj",2019-11-07,200960,77,True,"reggaeton,latin,urbano latino",TUSA - Karol G & Nicki Minaj,0.803,0.715,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4
spotify:track:1yoMvmasuxZfqHEipJhRbp,Hawái,PAPI JUANCHO,Maluma,2020-08-21,199112,84,False,"reggaeton,latin,urbano latino",Sony Music Latin,0.783,0.727,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4
spotify:track:0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),"J Balvin,Dua Lipa,Bad Bunny,Tainy",2020-07-24,232253,73,False,"reggaeton,latin,pop,trap latino,urbano latino",Universal Music Latino/ NEON16,0.571,0.693,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,4
spotify:track:6J2LdBN97cDWn0MLxYh9HB,July,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,156106,82,False,,Records/Columbia,0.708,0.186,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,4
spotify:track:4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),folklore,"Taylor Swift,Bon Iver",2020-07-24,285634,82,False,,Taylor Swift,0.298,0.38,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4
