Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,Harry Styles,2022-03-31,167303,19,False,,Columbia,0.52,0.731,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,2022-10-21,200690,84,False,,Taylor Swift,0.633,0.648,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,4
spotify:track:02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,14,False,,Polydor Records,0.761,0.525,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4
spotify:track:29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,300840,7,False,"art pop,baroque pop,art rock",Rhino,0.625,0.533,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,4
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,86,True,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,0.65,0.715,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
spotify:track:27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",2021-07-23,212000,77,True,,Columbia,0.736,0.704,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4
spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),"Sam Smith,Kim Petras",2022-09-22,156943,80,False,soft pop,Capitol Records UK / EMI,0.719,0.454,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,131.007,4
spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,225388,79,True,,Parkwood Entertainment/Columbia,0.78,0.689,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),Paradise Again,"Swedish House Mafia,The Weeknd",2022-04-15,234000,83,False,edm,Republic Records,0.553,0.659,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4
spotify:track:1rDQ4oMwGJI7B4tovsBOxc,First Class,First Class,Jack Harlow,2022-04-08,173947,9,True,,Generation Now/Atlantic,0.905,0.563,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4
