Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:59CfNbkERJ3NoTXDvoURjj,"Boyfriend","Boyfriend","Dove Cameron",2022-02-11,153000,75,true,nick170708!,2022-03-28T20:49:49Z,"","Disruptor Records/Columbia",0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,3
spotify:track:0skYUMpS0AcbpjcGsAbRGj,"Pink Venom","Pink Venom","BLACKPINK",2022-08-19,186964,67,false,nick170708!,2022-08-19T09:48:38Z,"k-pop","YG Entertainment/Interscope Records",0.798,0.697,0,-7.139,1,0.0891,0.0202,0,0.259,0.745,90.031,4
spotify:track:34ZAzO78a5DAVNrYIGWcPm,"Shirt","Shirt","SZA",2022-10-28,181830,67,true,nick170708!,2022-10-28T09:42:23Z,"r&b","Top Dawg Entertainment/RCA Records",0.824,0.453,3,-9.604,0,0.0968,0.146,0.0273,0.0896,0.552,119.959,4
spotify:track:5IgjP7X4th6nMNDh4akUHb,"Under The Influence","Indigo (Extended)","Chris Brown",2019-10-04,184613,87,true,nick170708!,2023-01-07T01:54:25Z,"r&b","Chris Brown Entertainment/RCA Records",0.755,0.562,9,-8.947,0,0.0355,0.0186,0.000231,0.18,0.368,116.931,4
spotify:track:6zJejIfVYLgjud3lTk4DLB,"SNAP","SNAP PACK","Rosa Linn",2022-07-15,179551,1,false,nick170708!,2022-10-26T21:04:49Z,"","Columbia",0.565,0.636,0,-8.198,1,0.0638,0.107,0.0000099,0.447,0.525,170.01,4
spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Bam Bam (feat. Ed Sheeran)","Familia","Camila Cabello,Ed Sheeran",2022-04-07,206070,74,false,nick170708!,2022-04-13T20:40:45Z,"soft pop","Epic",0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4
spotify:track:1O2pcBJGej0pmH2Y9XZMs6,"Una Noche en Medellín","Una Noche en Medellín","Cris MJ",2022-01-21,153750,7,true,nick170708!,2022-08-10T16:46:04Z,"reggaeton chileno,chilean trap,chilean mambo,reggaeton","Nabru Records LLC",0.87,0.548,10,-5.253,0,0.077,0.0924,0.000046,0.0534,0.832,96.018,4
spotify:track:7dSZ6zGTQx66c2GF91xCrb,"PROVENZA","PROVENZA","KAROL G",2022-04-22,210200,76,false,nick170708!,2022-06-19T18:50:24Z,"reggaeton,latin,urbano latino","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4
spotify:track:58HvfVOeJY7lUuCqF0m3ly,"MIDDLE OF THE NIGHT","MIDDLE OF THE NIGHT","Elley Duhé",2020-01-10,184447,78,false,nick170708!,2022-05-05T02:50:08Z,"","Not Fit For Society/RCA Records",0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,3
spotify:track:1r9xUipOqoNwggBpENDsvJ,"Enemy (with JID) - from the series Arcane League of Legends","Enemy (with JID) [from the series Arcane League of Legends]","Imagine Dragons,JID,Arcane,League of Legends",2021-10-28,173381,78,false,nick170708!,2022-01-16T05:45:31Z,"","KIDinaKORNER/Interscope Records",0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4
spotify:track:28JBD8p18xNuOfyV7Cotdn,"Massive","Honestly Nevermind","Drake",2022-06-17,336924,75,false,nick170708!,2022-06-24T17:06:55Z,"rap","OVO",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,3
spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,"BREAK MY SOUL","BREAK MY SOUL","Beyoncé",2022-06-21,278281,65,false,nick170708!,2022-06-21T14:53:10Z,"","Parkwood Entertainment/Columbia",0.687,0.887,1,-5.04,0,0.0826,0.0575,0.00000221,0.27,0.853,114.941,4
spotify:track:0O6u0VJ46W86TxN9wgyqDj,"I Like You (A Happier Song) (with Doja Cat)","Twelve Carat Toothache","Post Malone,Doja Cat",2022-06-03,192840,80,true,nick170708!,2022-06-03T17:10:00Z,"","Mercury Records/Republic Records",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,4
spotify:track:52xJxFP6TqMuO4Yt0eOkMz,"We Don't Talk About Bruno","Encanto (Original Motion Picture Soundtrack)","Carolina Gaitán - La Gaita,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",2021-11-19,216120,75,false,nick170708!,2022-01-16T05:45:39Z,"","Walt Disney Records",0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,4
spotify:track:76YSWx6L6FNsuaP6GWBb8P,"All For Us","Imagination & the Misfit Kid","Labrinth,Zendaya",2019-11-21,191710,75,false,nick170708!,2022-08-10T16:37:13Z,"","Syco Music",0.46,0.66,3,-6.642,1,0.0652,0.0108,0.000139,0.34,0.18,141.722,4
spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Where Are You Now","Where Are You Now","Lost Frequencies,Calum Scott",2021-07-30,148197,82,false,nick170708!,2023-08-21T00:40:14Z,"tropical house,soft pop","Epic Amsterdam",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4
spotify:track:38T0tPVZHcPZyhtOcCP7pF,"STAR WALKIN' (League of Legends Worlds Anthem)","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",2022-09-22,210575,73,true,nick170708!,2022-09-27T01:14:24Z,"","Columbia",0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,4
spotify:track:4ZtFanR9U6ndgddUvNcjcG,"good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,86,true,nick170708!,2022-04-13T20:41:47Z,"","Olivia Rodrigo PS",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
spotify:track:7mFj0LlWtEJaEigguaWqYh,"Sweetest Pie","Sweetest Pie","Megan Thee Stallion,Dua Lipa",2022-03-11,201334,71,true,nick170708!,2022-03-28T20:50:35Z,"pop","300 Entertainment",0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977,4
spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Ojitos Lindos","Un Verano Sin Ti","Bad Bunny,Bomba Estéreo",2022-05-06,258298,86,false,nick170708!,2022-08-10T17:50:07Z,"reggaeton,trap latino,urbano latino,latin,latin alternative,electrocumbia","Rimas Entertainment LLC",0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,4
spotify:track:46IZ0fSY2mpAiktS3KOqds,"Easy On Me","30","Adele",2021-11-19,224694,84,false,nick170708!,2022-01-16T05:44:40Z,"soft pop","Columbia",0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
spotify:track:35ovElsgyAtQwYPYnZJECg,"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna",2022-10-28,196519,72,false,nick170708!,2022-10-28T09:42:07Z,"","Black Panther 2 Rihanna Recordings",0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Snow On The Beach (feat. Lana Del Rey)","Midnights","Taylor Swift,Lana Del Rey",2022-10-21,256124,70,true,nick170708!,2022-10-22T16:50:46Z,"","Taylor Swift",0.663,0.321,9,-13.527,1,0.0409,0.701,0.000598,0.107,0.153,110.021,4
spotify:track:00Blm7zeNqgYLPtW6zg8cj,"One Right Now (with The Weeknd)","One Right Now","Post Malone,The Weeknd",2021-11-05,193506,71,true,nick170708!,2022-03-28T21:02:18Z,"","Republic Records",0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,4
spotify:track:3LtpKP5abr2qqjunvjlX5i,"Doja","Doja","Central Cee",2022-07-21,97392,81,true,nick170708!,2023-01-08T18:40:25Z,"uk drill,drill,uk grime,grime","Central Cee",0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04,4
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,"Woman","Planet Her","Doja Cat",2021-06-25,172626,84,true,nick170708!,2022-06-19T18:50:52Z,"","Kemosabe Records/RCA Records",0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4
