Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,"thank u next","thank u next","Ariana Grande",2019-02-08,207320,82,true,,2024-02-08T23:31:41Z,"pop","Republic Records",0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,4
spotify:track:2Fxmhks0bxGSBdJ92vM42m,"bad guy","WHEN WE ALL FALL ASLEEP WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,85,false,,2024-02-08T23:31:41Z,"","Darkroom/Interscope Records",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Señorita","Shawn Mendes (Deluxe)","Shawn Mendes,Camila Cabello",2019-06-19,190799,83,false,,2024-02-08T23:31:41Z,"","Island Records",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u next","Ariana Grande",2019-02-08,178626,86,true,,2024-02-08T23:31:41Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone,Swae Lee",2019-09-06,157560,85,false,,2024-02-08T23:31:41Z,"","Republic Records",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
spotify:track:2vXKRlJBXyOcvZYTdNeckS,"Lost in the Fire (feat. The Weeknd)","Hyperion","Gesaffelstein,The Weeknd",2019-03-08,202093,84,true,,2024-02-08T23:31:41Z,"","Columbia",0.658,0.671,2,-12.21,1,0.0364,0.0928,0.000919,0.115,0.165,100.967,4
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,"Without Me","Manic","Halsey",2020-01-17,201660,85,true,,2024-02-08T23:31:41Z,"","Capitol Records",0.752,0.488,6,-7.05,1,0.0705,0.293,0.0000092,0.0936,0.533,136.07,4
spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,"Doin' Time","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,202192,81,true,,2024-02-08T23:31:41Z,"","Polydor Records",0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4
spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Shallow","A Star Is Born Soundtrack","Lady Gaga,Bradley Cooper",2018-10-05,215733,88,false,,2024-02-08T23:31:41Z,"art pop,pop","A Star is Born OST",0.577,0.385,7,-6.362,1,0.03,0.371,0,0.231,0.331,95.82,4
spotify:track:4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend i'm bored","thank u next","Ariana Grande",2019-02-08,190440,77,true,,2024-02-08T23:31:41Z,"pop","Republic Records",0.727,0.554,5,-5.29,0,0.0915,0.0421,0,0.106,0.335,170,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,90,false,,2024-02-08T23:31:41Z,"soft pop","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,"Nights Like This (feat. Ty Dolla $ign)","While We Wait","Kehlani,Ty Dolla $ign",2019-02-22,201787,77,true,,2024-02-08T23:31:41Z,"trap soul","TSNMI / Atlantic",0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,4
spotify:track:0PG9fbaaHFHfre2gUVo7AN,"Please Me","Please Me","Cardi B,Bruno Mars",2019-02-15,200889,82,true,,2024-02-08T23:31:41Z,"","Atlantic/KSR",0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,4
spotify:track:4l0Mvzj72xxOpRrp6h8nHi,"Lose You To Love Me","Rare","Selena Gomez",2020-01-10,206458,81,false,,2024-02-08T23:31:41Z,"","Interscope Records",0.516,0.342,4,-8.985,1,0.0425,0.55,0,0.21,0.0993,102.819,4
spotify:track:0Ryd8975WihbObpp5cPW1t,"boyfriend (with Social House)","boyfriend","Ariana Grande,Social House",2019-08-02,186106,81,true,,2024-02-08T23:31:41Z,"pop","Republic Records",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,4
spotify:track:43zdsphuZLzwA9k4DJhU0I,"when the party's over","WHEN WE ALL FALL ASLEEP WHERE DO WE GO?","Billie Eilish",2019-03-29,196077,88,false,,2024-02-08T23:31:41Z,"","Darkroom/Interscope Records",0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,"Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith,Normani",2019-01-11,171029,75,false,,2024-02-08T23:31:41Z,"soft pop","PLG - Capitol",0.741,0.52,8,-7.513,1,0.0656,0.447,0.00000197,0.222,0.347,102.998,4
spotify:track:0rIAC4PXANcKmitJfoqmVm,"Motivation","Motivation","Normani",2019-08-16,193837,69,false,,2024-02-08T23:31:41Z,"","Keep Cool/RCA Records",0.599,0.887,4,-3.967,1,0.0984,0.0192,0.00000121,0.3,0.881,170.918,4
spotify:track:2OpBganfGk2GVdSlRdxzaX,"Better","Suncity","Khalid",2018-10-19,229320,81,true,,2024-02-08T23:31:41Z,"","Right Hand Music Group, LLC/RCA Records",0.695,0.586,0,-10.315,0,0.0658,0.102,0.317,0.113,0.112,98.035,4
spotify:track:7f5trao56t7sB7f14QDTmp,"Juicy","Hot Pink","Doja Cat,Tyga",2019-11-07,203093,71,true,,2024-02-08T23:31:41Z,"","Kemosabe Records/RCA Records",0.785,0.652,0,-2.607,1,0.0668,0.102,0,0.0697,0.484,170.024,4
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,90,false,,2024-02-08T23:31:41Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:5KBARWIxeMGkvUax9VtVC9,"My Type","ICY","Saweetie",2019-03-29,126446,74,true,,2024-02-08T23:31:41Z,"","ICY/Artistry Records/Warner Records",0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
spotify:track:2bjUEg4jBtKBlPdNrTAppI,"Easier","CALM","5 Seconds of Summer",2020-03-27,158098,71,false,,2024-02-08T23:31:41Z,"","5 Seconds Of Summer/Interscope",0.562,0.46,5,-4.173,1,0.259,0.476,0,0.107,0.623,176.055,4
spotify:track:27rdGxbavYJeBphck5MZAF,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson,Miley Cyrus",2018-11-30,217466,74,false,,2024-02-08T23:31:41Z,"","Columbia",0.601,0.794,7,-5.844,0,0.0671,0.00987,0.00000136,0.388,0.244,114.066,4
