Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,"Kill Bill","SOS","SZA",2022-12-08,153946,86,false,nick170708!,2023-01-07T03:24:37Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
spotify:track:0yLdNVWF3Srea0uzk55zFn,"Flowers","Flowers","Miley Cyrus",2023-01-13,200454,21,false,nick170708!,2023-01-13T00:30:56Z,"","Columbia",0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4
spotify:track:7oDd86yk8itslrA9HRP2ki,"Die For You - Remix","Die For You (Remix)","The Weeknd,Ariana Grande",2023-02-24,232857,76,false,nick170708!,2023-02-24T10:14:07Z,"pop","XO / Republic Records",0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,4
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,76,true,nick170708!,2023-02-10T10:04:06Z,"bedroom pop","Warner Records",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,92,false,nick170708!,2023-06-30T10:17:30Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,84,true,nick170708!,2023-01-07T03:24:44Z,"","Republic Records",0.716,0.613,1,-6.018,0,0.0522,0.391,0,0.0813,0.157,97.914,4
spotify:track:3k79jB4aGmMDUQzEwa46Rz,"vampire","vampire","Olivia Rodrigo",2023-06-30,219724,11,true,nick170708!,2023-06-30T10:17:27Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.82,1,0.054,0.148,0,0.283,0.319,136.874,4
spotify:track:3rUGC1vUpkDG9CZFHMur1t,"greedy","greedy","Tate McRae",2023-09-15,131872,91,true,nick170708!,2023-09-16T15:01:05Z,"","RCA Records Label",0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,1
spotify:track:78Sw5GDo6AlGwTwanjXbGh,"Here With Me","Here With Me","d4vd",2022-09-22,242484,9,false,nick170708!,2023-02-23T18:23:59Z,"","Darkroom/Interscope Records",0.574,0.469,4,-8.209,1,0.0254,0.534,0.0000921,0.128,0.288,132.023,4
spotify:track:2i2gDpKKWjvnRTOZRhaPh2,"Moonlight","Moonlight","Kali Uchis",2023-02-24,187557,78,false,nick170708!,2023-05-24T00:18:34Z,"","Geffen Records",0.64,0.719,7,-6.452,0,0.0516,0.477,0,0.16,0.889,136.79,4
spotify:track:1odExI7RdWc4BT515LTAwj,"Daylight","Daylight","David Kushner",2023-04-14,212953,46,false,nick170708!,2023-04-28T13:47:09Z,"","Miserable Music Group, LLC",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,90,false,nick170708!,2023-11-26T19:40:18Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,"Cupid - Twin Ver.","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,11,false,nick170708!,2023-04-22T03:51:18Z,"k-pop","WM Korea",0.783,0.592,11,-8.332,0,0.0331,0.435,0.00000415,0.347,0.726,120.018,4
spotify:track:7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)","Flower Boy","Tyler The Creator,Kali Uchis",2017-07-21,180386,93,true,nick170708!,2023-05-27T22:38:07Z,"","Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
spotify:track:7x9aauaA9cu6tyfpHnqDLo,"Seven (feat. Latto)","Seven (feat. Latto)","Jung Kook,Latto",2023-07-14,184400,81,true,nick170708!,2023-07-20T23:14:17Z,"k-pop","BIGHIT MUSIC",0.788,0.841,11,-3.955,1,0.0432,0.301,0,0.0772,0.904,124.986,4
spotify:track:5aIVCx5tnk0ntmdiinnYvw,"Water","Water","Tyla",2023-07-28,200255,87,false,nick170708!,2023-10-20T10:14:48Z,"afrobeats","FAX Records/Epic",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
spotify:track:4xhsWYTOGcal8zt0J161CU,"Lovin On Me","Lovin On Me","Jack Harlow",2023-11-10,138411,82,true,nick170708!,2023-11-17T10:03:26Z,"","Generation Now/Atlantic",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4
spotify:track:2IGMVunIBsBLtEQyoI1Mu7,"Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,231750,81,true,nick170708!,2023-08-04T10:14:48Z,"","Kemosabe Records/RCA Records",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions Vol. 53","Shakira: Bzrp Music Sessions Vol. 53","Bizarrap,Shakira",2023-01-11,214945,80,false,nick170708!,2023-01-13T13:25:10Z,"argentine trap,trap latino,urbano latino,latin pop","DALE PLAY Records",0.842,0.745,2,-4.231,0,0.0399,0.281,0.0000261,0.118,0.53,122.06,4
spotify:track:6dgUya35uo964z7GZXM07g,"Nonsense","emails i can't send","Sabrina Carpenter",2022-07-15,163648,88,false,nick170708!,2023-01-22T14:27:49Z,"","Island Records",0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
spotify:track:7KokYm8cMIXCsGVmUvKtqf,"Karma","Midnights","Taylor Swift",2022-10-21,204852,79,true,nick170708!,2023-05-24T00:18:30Z,"","Taylor Swift",0.64,0.619,8,-7.108,1,0.065,0.062,0,0.475,0.121,90.008,4
spotify:track:6wsqVwoiVH2kde4k4KKAFU,"I KNOW ?","UTOPIA","Travis Scott",2023-07-28,211582,83,true,nick170708!,2023-11-30T13:32:20Z,"rap","Cactus Jack/Epic",0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,4
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,"Snooze","SOS","SZA",2022-12-09,201800,90,true,nick170708!,2024-02-28T02:57:06Z,"r&b","Top Dawg Entertainment/RCA Records",0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
spotify:track:6GGtHZgBycCgGBUhZo81xe,"Say Yes To Heaven","Say Yes To Heaven","Lana Del Rey",2023-05-19,209156,87,false,nick170708!,2023-05-19T14:17:32Z,"","Polydor Records",0.485,0.348,6,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,88,false,nick170708!,2023-07-14T04:09:40Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,82,false,nick170708!,2023-01-07T03:25:07Z,"","Republic Records",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
spotify:track:59uQI0PADDKeE6UZDTJEe8,"Last Night","3 Songs At A Time Sampler","Morgan Wallen",2023-01-31,163854,76,true,nick170708!,2023-03-31T09:43:24Z,"country","Big Loud Records / Mercury Records / Republic Records",0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,4
spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"Ella Baila Sola","Ella Baila Sola","Eslabon Armado,Peso Pluma",2023-03-16,165671,80,false,nick170708!,2023-04-03T15:50:22Z,"corridos tumbados,sad sierreño,corrido,sierreño,música mexicana,corridos bélicos,banda,electro corridos","DEL Records",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,89,true,nick170708!,2023-02-23T18:23:44Z,"edm,dance","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Rich Flex","Her Loss","Drake,21 Savage",2022-11-04,239359,78,true,nick170708!,2023-01-08T19:15:26Z,"rap","OVO / Republic Records",0.549,0.518,4,-9.39,0,0.257,0.0517,0.00000121,0.378,0.418,160.07,4
spotify:track:6WzRpISELf3YglGAh7TXcG,"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","Popular (Music from the HBO Original Series)","The Weeknd,Playboi Carti,Madonna",2023-06-02,215466,85,true,nick170708!,2023-07-20T23:14:25Z,"rage rap","XO / Republic Records",0.854,0.674,1,-6.23,1,0.184,0.0517,0.0000853,0.509,0.848,99.022,4
spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Sprinter","Sprinter","Dave,Central Cee",2023-06-01,229133,85,true,nick170708!,2023-11-30T14:39:33Z,"grime,uk grime,uk drill,drill","Neighbourhood / Live Yours",0.918,0.681,1,-4.705,1,0.201,0.263,0,0.0615,0.706,139.057,4
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,"fukumean","a Gift & a Curse","Gunna",2023-06-16,125040,83,true,nick170708!,2023-07-20T23:13:38Z,"melodic rap","300 Entertainment",0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4
spotify:track:5ww2BF9slyYgNOk37BlC4u,"La Bachata","La Bachata","Manuel Turizo",2022-05-26,162637,82,false,nick170708!,2023-01-07T03:24:57Z,"reggaeton,pop urbano,latin,colombian pop","Sony Music Latin/La Industria",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
spotify:track:5odlY52u43F5BjByhxg7wg,"golden hour","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,209259,81,false,nick170708!,2023-01-07T03:25:23Z,"","JVKE",0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
spotify:track:0WtM2NBVQNNJLh6scP13H8,"Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,84,false,nick170708!,2023-01-07T03:25:14Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Records / Jonzing World",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
spotify:track:2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,87,true,nick170708!,2023-11-29T10:57:55Z,"","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
spotify:track:2i8f4VnnBjy0yDqH2C452a,"bad idea right?","bad idea right?","Olivia Rodrigo",2023-08-11,184783,4,true,nick170708!,2023-08-11T10:07:36Z,"","Olivia Rodrigo PS",0.631,0.88,9,-3.545,1,0.0999,0.00174,0.00000452,0.0639,0.808,129.994,4
spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,85,true,nick170708!,2023-02-25T13:01:29Z,"reggaeton,latin,urbano latino,latin pop","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",0.587,0.647,4,-3.385,0,0.327,0.619,0,0.106,0.686,90.123,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,82,true,nick170708!,2023-10-13T15:33:12Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
