Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LEK9rD7TWIG4FCL1s27XC,"cardigan","folklore","Taylor Swift",2020-07-24,239560,52,false,nick170708!,2024-02-01T17:29:31Z,"","Taylor Swift",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
spotify:track:7eJMfftS33KTjuF7lTsMCx,"death bed (coffee for your head)","death bed (coffee for your head)","Powfu,beabadoobee",2020-02-08,173333,84,false,nick170708!,2024-02-01T17:29:31Z,"bedroom pop","Columbia",0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,85,true,nick170708!,2024-02-01T17:29:31Z,"melodic rap","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
spotify:track:0sf12qNH5qcw8qpgymFOqD,"Blinding Lights","Blinding Lights","The Weeknd",2019-11-29,201573,26,false,nick170708!,2024-02-01T17:29:31Z,"","Republic Records",0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4
spotify:track:696DnlkuDOXcMAnKlTgXXK,"ROXANNE","ROXANNE","Arizona Zervas",2019-10-10,163636,77,true,nick170708!,2024-02-01T17:29:31Z,"","Arizona Zervas",0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5
spotify:track:7igeByaBM0MgGsgXtNxDJ7,"positions","positions","Ariana Grande",2020-10-23,172324,2,true,nick170708!,2024-02-01T17:29:31Z,"pop","Republic Records",0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,4
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237893,79,true,nick170708!,2024-02-01T17:29:31Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
spotify:track:6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,88,false,nick170708!,2024-02-01T17:29:31Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,"Don't Start Now","Don't Start Now","Dua Lipa",2019-10-31,183290,77,false,nick170708!,2024-02-01T17:29:31Z,"pop","Warner Records",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,"everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,86,false,nick170708!,2024-02-01T17:29:31Z,"","Darkroom/Interscope Records",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
